73	0	1	task-0:0.256	|	0.252711	0.228593	0.227081	0.223873	0.219423	0.216237	0.213131	0.21302	0.216005	0.210199	0.209943	0.209023	0.207113	0.206226	0.211168	0.204927	0.204821	0.20448	0.203885	0.203549	0.203308	0.203014	0.202822	0.202391	0.201819	0.20211	0.201535	0.20136	0.173442	0.162625	0.152008	0.141088	0.134994	0.121649	0.101094	0.0839311	0.0736115	0.068357	0.0652288	0.0604574	0.0520313	0.0441784	0.0555886	0.040045	0.0392991	0.0379365	0.0367441	0.0361515	0.0349115	0.0336418	
79	0	1	task-0:0.27	|	0.266489	0.227821	0.226701	0.225004	0.223075	0.221252	0.220111	0.2187	0.217431	0.215714	0.212537	0.212096	0.232939	0.207372	0.206995	0.206476	0.205925	0.205523	0.20538	0.204899	0.204278	0.202987	0.200687	0.201593	0.249843	0.198229	0.198069	0.197762	0.197608	0.197569	0.197458	0.197425	0.197363	0.197295	0.197182	0.197072	0.196999	0.196991	0.173138	0.169666	0.161941	0.15155	0.134506	0.111039	0.0887091	0.131915	0.0736532	0.0694148	0.0618257	0.0588168	0.054612	0.0517606	0.050659	0.0484747	0.0457352	0.0432958	0.0429526	0.0413504	0.039808	

92	0.015	1	task-0:0.264	|	0.252331	0.231582	0.230294	0.227564	0.223367	0.220122	0.21604	0.215272	0.219228	0.212403	0.210117	0.209694	0.208716	0.207457	0.207761	0.206938	0.20659	0.206194	0.205733	0.205403	0.205039	0.20465	0.204634	0.204339	0.204076	0.20376	0.203732	0.203462	0.203221	0.202949	0.202886	0.173809	0.163149	0.151888	0.140826	0.134911	0.121853	0.101437	0.0781474	0.0783388	0.0665427	0.0635794	0.0597958	0.0581597	0.056473	0.0531271	0.0492511	0.0451276	0.0409094	0.0388339	0.0368878	0.0346438	0.0323562	0.0301533	

79	0	1	task-0:0.27	|	0.266489	0.227821	0.226701	0.225004	0.223075	0.221252	0.220111	0.2187	0.217431	0.215714	0.212537	0.212096	0.232939	0.207372	0.206995	0.206476	0.205925	0.205523	0.20538	0.204899	0.204278	0.202987	0.200687	0.201593	0.249843	0.198229	0.198069	0.197762	0.197608	0.197569	0.197458	0.197425	0.197363	0.197295	0.197182	0.197072	0.196999	0.196991	0.173138	0.169666	0.161941	0.15155	0.134506	0.111039	0.0887091	0.131915	0.0736532	0.0694148	0.0618257	0.0588168	0.054612	0.0517606	0.050659	0.0484747	0.0457352	0.0432958	0.0429526	0.0413504	0.039808	

79	0	1	task-0:0.27	|	0.266489	0.227821	0.226701	0.225004	0.223075	0.221252	0.220111	0.2187	0.217431	0.215714	0.212537	0.212096	0.232939	0.207372	0.206995	0.206476	0.205925	0.205523	0.20538	0.204899	0.204278	0.202987	0.200687	0.201593	0.249843	0.198229	0.198069	0.197762	0.197608	0.197569	0.197458	0.197425	0.197363	0.197295	0.197182	0.197072	0.196999	0.196991	0.173138	0.169666	0.161941	0.15155	0.134506	0.111039	0.0887091	0.131915	0.0736532	0.0694148	0.0618257	0.0588168	0.054612	0.0517606	0.050659	0.0484747	0.0457352	0.0432958	0.0429526	0.0413504	0.039808	

79	0	1	task-0:0.27	|	0.266489	0.227821	0.226701	0.225004	0.223075	0.221252	0.220111	0.2187	0.217431	0.215714	0.212537	0.212096	0.232939	0.207372	0.206995	0.206476	0.205925	0.205523	0.20538	0.204899	0.204278	0.202987	0.200687	0.201593	0.249843	0.198229	0.198069	0.197762	0.197608	0.197569	0.197458	0.197425	0.197363	0.197295	0.197182	0.197072	0.196999	0.196991	0.173138	0.169666	0.161941	0.15155	0.134506	0.111039	0.0887091	0.131915	0.0736532	0.0694148	0.0618257	0.0588168	0.054612	0.0517606	0.050659	0.0484747	0.0457352	0.0432958	0.0429526	0.0413504	0.039808	

79	0	1	task-0:0.27	|	0.266489	0.227821	0.226701	0.225004	0.223075	0.221252	0.220111	0.2187	0.217431	0.215714	0.212537	0.212096	0.232939	0.207372	0.206995	0.206476	0.205925	0.205523	0.20538	0.204899	0.204278	0.202987	0.200687	0.201593	0.249843	0.198229	0.198069	0.197762	0.197608	0.197569	0.197458	0.197425	0.197363	0.197295	0.197182	0.197072	0.196999	0.196991	0.173138	0.169666	0.161941	0.15155	0.134506	0.111039	0.0887091	0.131915	0.0736532	0.0694148	0.0618257	0.0588168	0.054612	0.0517606	0.050659	0.0484747	0.0457352	0.0432958	0.0429526	0.0413504	0.039808	

79	0	1	task-0:0.27	|	0.266489	0.227821	0.226701	0.225004	0.223075	0.221252	0.220111	0.2187	0.217431	0.215714	0.212537	0.212096	0.232939	0.207372	0.206995	0.206476	0.205925	0.205523	0.20538	0.204899	0.204278	0.202987	0.200687	0.201593	0.249843	0.198229	0.198069	0.197762	0.197608	0.197569	0.197458	0.197425	0.197363	0.197295	0.197182	0.197072	0.196999	0.196991	0.173138	0.169666	0.161941	0.15155	0.134506	0.111039	0.0887091	0.131915	0.0736532	0.0694148	0.0618257	0.0588168	0.054612	0.0517606	0.050659	0.0484747	0.0457352	0.0432958	0.0429526	0.0413504	0.039808	

79	0	1	task-0:0.27	|	0.266489	0.227821	0.226701	0.225004	0.223075	0.221252	0.220111	0.2187	0.217431	0.215714	0.212537	0.212096	0.232939	0.207372	0.206995	0.206476	0.205925	0.205523	0.20538	0.204899	0.204278	0.202987	0.200687	0.201593	0.249843	0.198229	0.198069	0.197762	0.197608	0.197569	0.197458	0.197425	0.197363	0.197295	0.197182	0.197072	0.196999	0.196991	0.173138	0.169666	0.161941	0.15155	0.134506	0.111039	0.0887091	0.131915	0.0736532	0.0694148	0.0618257	0.0588168	0.054612	0.0517606	0.050659	0.0484747	0.0457352	0.0432958	0.0429526	0.0413504	0.039808	

79	0	1	task-0:0.27	|	0.266489	0.227821	0.226701	0.225004	0.223075	0.221252	0.220111	0.2187	0.217431	0.215714	0.212537	0.212096	0.232939	0.207372	0.206995	0.206476	0.205925	0.205523	0.20538	0.204899	0.204278	0.202987	0.200687	0.201593	0.249843	0.198229	0.198069	0.197762	0.197608	0.197569	0.197458	0.197425	0.197363	0.197295	0.197182	0.197072	0.196999	0.196991	0.173138	0.169666	0.161941	0.15155	0.134506	0.111039	0.0887091	0.131915	0.0736532	0.0694148	0.0618257	0.0588168	0.054612	0.0517606	0.050659	0.0484747	0.0457352	0.0432958	0.0429526	0.0413504	0.039808	

79	0	1	task-0:0.27	|	0.266489	0.227821	0.226701	0.225004	0.223075	0.221252	0.220111	0.2187	0.217431	0.215714	0.212537	0.212096	0.232939	0.207372	0.206995	0.206476	0.205925	0.205523	0.20538	0.204899	0.204278	0.202987	0.200687	0.201593	0.249843	0.198229	0.198069	0.197762	0.197608	0.197569	0.197458	0.197425	0.197363	0.197295	0.197182	0.197072	0.196999	0.196991	0.173138	0.169666	0.161941	0.15155	0.134506	0.111039	0.0887091	0.131915	0.0736532	0.0694148	0.0618257	0.0588168	0.054612	0.0517606	0.050659	0.0484747	0.0457352	0.0432958	0.0429526	0.0413504	0.039808	

79	0	1	task-0:0.27	|	0.266489	0.227821	0.226701	0.225004	0.223075	0.221252	0.220111	0.2187	0.217431	0.215714	0.212537	0.212096	0.232939	0.207372	0.206995	0.206476	0.205925	0.205523	0.20538	0.204899	0.204278	0.202987	0.200687	0.201593	0.249843	0.198229	0.198069	0.197762	0.197608	0.197569	0.197458	0.197425	0.197363	0.197295	0.197182	0.197072	0.196999	0.196991	0.173138	0.169666	0.161941	0.15155	0.134506	0.111039	0.0887091	0.131915	0.0736532	0.0694148	0.0618257	0.0588168	0.054612	0.0517606	0.050659	0.0484747	0.0457352	0.0432958	0.0429526	0.0413504	0.039808	

79	0	1	task-0:0.27	|	0.266489	0.227821	0.226701	0.225004	0.223075	0.221252	0.220111	0.2187	0.217431	0.215714	0.212537	0.212096	0.232939	0.207372	0.206995	0.206476	0.205925	0.205523	0.20538	0.204899	0.204278	0.202987	0.200687	0.201593	0.249843	0.198229	0.198069	0.197762	0.197608	0.197569	0.197458	0.197425	0.197363	0.197295	0.197182	0.197072	0.196999	0.196991	0.173138	0.169666	0.161941	0.15155	0.134506	0.111039	0.0887091	0.131915	0.0736532	0.0694148	0.0618257	0.0588168	0.054612	0.0517606	0.050659	0.0484747	0.0457352	0.0432958	0.0429526	0.0413504	0.039808	

79	0	1	task-0:0.27	|	0.266489	0.227821	0.226701	0.225004	0.223075	0.221252	0.220111	0.2187	0.217431	0.215714	0.212537	0.212096	0.232939	0.207372	0.206995	0.206476	0.205925	0.205523	0.20538	0.204899	0.204278	0.202987	0.200687	0.201593	0.249843	0.198229	0.198069	0.197762	0.197608	0.197569	0.197458	0.197425	0.197363	0.197295	0.197182	0.197072	0.196999	0.196991	0.173138	0.169666	0.161941	0.15155	0.134506	0.111039	0.0887091	0.131915	0.0736532	0.0694148	0.0618257	0.0588168	0.054612	0.0517606	0.050659	0.0484747	0.0457352	0.0432958	0.0429526	0.0413504	0.039808	

79	0	1	task-0:0.27	|	0.266489	0.227821	0.226701	0.225004	0.223075	0.221252	0.220111	0.2187	0.217431	0.215714	0.212537	0.212096	0.232939	0.207372	0.206995	0.206476	0.205925	0.205523	0.20538	0.204899	0.204278	0.202987	0.200687	0.201593	0.249843	0.198229	0.198069	0.197762	0.197608	0.197569	0.197458	0.197425	0.197363	0.197295	0.197182	0.197072	0.196999	0.196991	0.173138	0.169666	0.161941	0.15155	0.134506	0.111039	0.0887091	0.131915	0.0736532	0.0694148	0.0618257	0.0588168	0.054612	0.0517606	0.050659	0.0484747	0.0457352	0.0432958	0.0429526	0.0413504	0.039808	

79	0.016	1	task-0:0.27	|	0.266489	0.227821	0.226701	0.225004	0.223075	0.221252	0.220111	0.2187	0.217431	0.215714	0.212537	0.212096	0.232939	0.207372	0.206995	0.206476	0.205925	0.205523	0.20538	0.204899	0.204278	0.202987	0.200687	0.201593	0.249843	0.198229	0.198069	0.197762	0.197608	0.197569	0.197458	0.197425	0.197363	0.197295	0.197182	0.197072	0.196999	0.196991	0.173138	0.169666	0.161941	0.15155	0.134506	0.111039	0.0887091	0.131915	0.0736532	0.0694148	0.0618257	0.0588168	0.054612	0.0517606	0.050659	0.0484747	0.0457352	0.0432958	0.0429526	0.0413504	0.039808	

79	0	1	task-0:0.27	|	0.266489	0.227821	0.226701	0.225004	0.223075	0.221252	0.220111	0.2187	0.217431	0.215714	0.212537	0.212096	0.232939	0.207372	0.206995	0.206476	0.205925	0.205523	0.20538	0.204899	0.204278	0.202987	0.200687	0.201593	0.249843	0.198229	0.198069	0.197762	0.197608	0.197569	0.197458	0.197425	0.197363	0.197295	0.197182	0.197072	0.196999	0.196991	0.173138	0.169666	0.161941	0.15155	0.134506	0.111039	0.0887091	0.131915	0.0736532	0.0694148	0.0618257	0.0588168	0.054612	0.0517606	0.050659	0.0484747	0.0457352	0.0432958	0.0429526	0.0413504	0.039808	

79	0.015	1	task-0:0.27	|	0.266489	0.227821	0.226701	0.225004	0.223075	0.221252	0.220111	0.2187	0.217431	0.215714	0.212537	0.212096	0.232939	0.207372	0.206995	0.206476	0.205925	0.205523	0.20538	0.204899	0.204278	0.202987	0.200687	0.201593	0.249843	0.198229	0.198069	0.197762	0.197608	0.197569	0.197458	0.197425	0.197363	0.197295	0.197182	0.197072	0.196999	0.196991	0.173138	0.169666	0.161941	0.15155	0.134506	0.111039	0.0887091	0.131915	0.0736532	0.0694148	0.0618257	0.0588168	0.054612	0.0517606	0.050659	0.0484747	0.0457352	0.0432958	0.0429526	0.0413504	0.039808	

114	0	1	task-0:0.254	|	0.247863	0.227084	0.226177	0.224521	0.222461	0.220573	0.218899	0.217673	0.216666	0.215444	0.215032	0.214001	0.213254	0.211776	0.210203	0.228099	0.209045	0.20865	0.207627	0.205813	0.204195	0.21979	0.203668	0.203493	0.203033	0.202273	0.202344	0.201762	0.201587	0.201461	0.201236	0.201032	0.200544	0.199647	0.198082	0.201141	0.248705	0.197633	0.197489	0.197176	0.196675	0.19599	0.196409	0.196534	0.195621	0.195589	0.195536	0.195475	0.195441	0.195435	0.168744	0.162059	0.150288	0.143203	0.131106	0.115466	0.0893153	0.0704457	0.158264	0.0593135	0.0567507	0.0551271	0.0539488	0.0522176	0.0491688	0.0444322	0.0397185	0.035988	0.0381528	0.0339636	0.0331999	0.0325074	0.0315116	0.0295174	

79	0.016	1	task-0:0.27	|	0.266489	0.227821	0.226701	0.225004	0.223075	0.221252	0.220111	0.2187	0.217431	0.215714	0.212537	0.212096	0.232939	0.207372	0.206995	0.206476	0.205925	0.205523	0.20538	0.204899	0.204278	0.202987	0.200687	0.201593	0.249843	0.198229	0.198069	0.197762	0.197608	0.197569	0.197458	0.197425	0.197363	0.197295	0.197182	0.197072	0.196999	0.196991	0.173138	0.169666	0.161941	0.15155	0.134506	0.111039	0.0887091	0.131915	0.0736532	0.0694148	0.0618257	0.0588168	0.054612	0.0517606	0.050659	0.0484747	0.0457352	0.0432958	0.0429526	0.0413504	0.039808	

