93	0	1	task-3:0.288	task-0:0.282	task-1:0.26	task-2:0.292	|	0.259045	0.24825	0.222122	0.197321	0.196465	0.195822	0.195083	0.194001	0.192773	0.192256	0.19221	0.19179	0.19156	0.191289	0.190893	0.190421	0.190119	0.189706	0.189475	0.189356	0.189266	0.188901	0.188495	0.187927	0.187777	0.187676	0.190604	0.186685	0.186543	0.186357	0.186039	0.185574	0.18675	0.189363	0.185201	0.185158	0.184864	0.184832	0.184778	0.184711	0.184645	0.184549	0.18451	0.184483	0.184413	0.184377	0.184355	0.17603	0.175461	0.173989	0.170791	0.164501	0.153163	0.136666	0.121243	0.107738	0.0984255	0.088205	0.0804494	0.0737012	0.0643832	0.0552289	0.0439404	0.0484753	0.0359763	
92	0	1	task-3:0.284	task-0:0.252	task-1:0.272	task-2:0.44	|	0.273189	0.260431	0.228926	0.198287	0.197316	0.196737	0.196005	0.194925	0.193791	0.192963	0.192396	0.192263	0.19133	0.190885	0.190536	0.189931	0.189551	0.189216	0.18893	0.188683	0.188457	0.18834	0.188129	0.187901	0.187588	0.187279	0.188042	0.187009	0.186742	0.186589	0.18662	0.186326	0.186203	0.186066	0.18631	0.185908	0.18584	0.18577	0.173722	0.172544	0.170278	0.166026	0.157947	0.143303	0.124669	0.111542	0.102811	0.0961546	0.0884819	0.0833595	0.0745257	0.0657585	0.0565079	0.0551752	0.0478557	0.043463	0.0481156	0.0394019	
92	0.015	1	task-3:0.284	task-0:0.252	task-1:0.272	task-2:0.44	|	0.273189	0.260431	0.228926	0.198287	0.197316	0.196737	0.196005	0.194925	0.193791	0.192963	0.192396	0.192263	0.19133	0.190885	0.190536	0.189931	0.189551	0.189216	0.18893	0.188683	0.188457	0.18834	0.188129	0.187901	0.187588	0.187279	0.188042	0.187009	0.186742	0.186589	0.18662	0.186326	0.186203	0.186066	0.18631	0.185908	0.18584	0.18577	0.173722	0.172544	0.170278	0.166026	0.157947	0.143303	0.124669	0.111542	0.102811	0.0961546	0.0884819	0.0833595	0.0745257	0.0657585	0.0565079	0.0551752	0.0478557	0.043463	0.0481156	0.0394019	
92	0	1	task-3:0.284	task-0:0.252	task-1:0.272	task-2:0.44	|	0.273189	0.260431	0.228926	0.198287	0.197316	0.196737	0.196005	0.194925	0.193791	0.192963	0.192396	0.192263	0.19133	0.190885	0.190536	0.189931	0.189551	0.189216	0.18893	0.188683	0.188457	0.18834	0.188129	0.187901	0.187588	0.187279	0.188042	0.187009	0.186742	0.186589	0.18662	0.186326	0.186203	0.186066	0.18631	0.185908	0.18584	0.18577	0.173722	0.172544	0.170278	0.166026	0.157947	0.143303	0.124669	0.111542	0.102811	0.0961546	0.0884819	0.0833595	0.0745257	0.0657585	0.0565079	0.0551752	0.0478557	0.043463	0.0481156	0.0394019	
92	0	1	task-3:0.284	task-0:0.252	task-1:0.272	task-2:0.44	|	0.273189	0.260431	0.228926	0.198287	0.197316	0.196737	0.196005	0.194925	0.193791	0.192963	0.192396	0.192263	0.19133	0.190885	0.190536	0.189931	0.189551	0.189216	0.18893	0.188683	0.188457	0.18834	0.188129	0.187901	0.187588	0.187279	0.188042	0.187009	0.186742	0.186589	0.18662	0.186326	0.186203	0.186066	0.18631	0.185908	0.18584	0.18577	0.173722	0.172544	0.170278	0.166026	0.157947	0.143303	0.124669	0.111542	0.102811	0.0961546	0.0884819	0.0833595	0.0745257	0.0657585	0.0565079	0.0551752	0.0478557	0.043463	0.0481156	0.0394019	
92	0.016	1	task-3:0.284	task-0:0.252	task-1:0.272	task-2:0.44	|	0.273189	0.260431	0.228926	0.198287	0.197316	0.196737	0.196005	0.194925	0.193791	0.192963	0.192396	0.192263	0.19133	0.190885	0.190536	0.189931	0.189551	0.189216	0.18893	0.188683	0.188457	0.18834	0.188129	0.187901	0.187588	0.187279	0.188042	0.187009	0.186742	0.186589	0.18662	0.186326	0.186203	0.186066	0.18631	0.185908	0.18584	0.18577	0.173722	0.172544	0.170278	0.166026	0.157947	0.143303	0.124669	0.111542	0.102811	0.0961546	0.0884819	0.0833595	0.0745257	0.0657585	0.0565079	0.0551752	0.0478557	0.043463	0.0481156	0.0394019	
92	0	1	task-3:0.284	task-0:0.252	task-1:0.272	task-2:0.44	|	0.273189	0.260431	0.228926	0.198287	0.197316	0.196737	0.196005	0.194925	0.193791	0.192963	0.192396	0.192263	0.19133	0.190885	0.190536	0.189931	0.189551	0.189216	0.18893	0.188683	0.188457	0.18834	0.188129	0.187901	0.187588	0.187279	0.188042	0.187009	0.186742	0.186589	0.18662	0.186326	0.186203	0.186066	0.18631	0.185908	0.18584	0.18577	0.173722	0.172544	0.170278	0.166026	0.157947	0.143303	0.124669	0.111542	0.102811	0.0961546	0.0884819	0.0833595	0.0745257	0.0657585	0.0565079	0.0551752	0.0478557	0.043463	0.0481156	0.0394019	
92	0.015	1	task-3:0.284	task-0:0.252	task-1:0.272	task-2:0.44	|	0.273189	0.260431	0.228926	0.198287	0.197316	0.196737	0.196005	0.194925	0.193791	0.192963	0.192396	0.192263	0.19133	0.190885	0.190536	0.189931	0.189551	0.189216	0.18893	0.188683	0.188457	0.18834	0.188129	0.187901	0.187588	0.187279	0.188042	0.187009	0.186742	0.186589	0.18662	0.186326	0.186203	0.186066	0.18631	0.185908	0.18584	0.18577	0.173722	0.172544	0.170278	0.166026	0.157947	0.143303	0.124669	0.111542	0.102811	0.0961546	0.0884819	0.0833595	0.0745257	0.0657585	0.0565079	0.0551752	0.0478557	0.043463	0.0481156	0.0394019	
92	0.016	1	task-3:0.284	task-0:0.252	task-1:0.272	task-2:0.44	|	0.273189	0.260431	0.228926	0.198287	0.197316	0.196737	0.196005	0.194925	0.193791	0.192963	0.192396	0.192263	0.19133	0.190885	0.190536	0.189931	0.189551	0.189216	0.18893	0.188683	0.188457	0.18834	0.188129	0.187901	0.187588	0.187279	0.188042	0.187009	0.186742	0.186589	0.18662	0.186326	0.186203	0.186066	0.18631	0.185908	0.18584	0.18577	0.173722	0.172544	0.170278	0.166026	0.157947	0.143303	0.124669	0.111542	0.102811	0.0961546	0.0884819	0.0833595	0.0745257	0.0657585	0.0565079	0.0551752	0.0478557	0.043463	0.0481156	0.0394019	
92	0	1	task-3:0.284	task-0:0.252	task-1:0.272	task-2:0.44	|	0.273189	0.260431	0.228926	0.198287	0.197316	0.196737	0.196005	0.194925	0.193791	0.192963	0.192396	0.192263	0.19133	0.190885	0.190536	0.189931	0.189551	0.189216	0.18893	0.188683	0.188457	0.18834	0.188129	0.187901	0.187588	0.187279	0.188042	0.187009	0.186742	0.186589	0.18662	0.186326	0.186203	0.186066	0.18631	0.185908	0.18584	0.18577	0.173722	0.172544	0.170278	0.166026	0.157947	0.143303	0.124669	0.111542	0.102811	0.0961546	0.0884819	0.0833595	0.0745257	0.0657585	0.0565079	0.0551752	0.0478557	0.043463	0.0481156	0.0394019	
92	0.016	1	task-3:0.284	task-0:0.252	task-1:0.272	task-2:0.44	|	0.273189	0.260431	0.228926	0.198287	0.197316	0.196737	0.196005	0.194925	0.193791	0.192963	0.192396	0.192263	0.19133	0.190885	0.190536	0.189931	0.189551	0.189216	0.18893	0.188683	0.188457	0.18834	0.188129	0.187901	0.187588	0.187279	0.188042	0.187009	0.186742	0.186589	0.18662	0.186326	0.186203	0.186066	0.18631	0.185908	0.18584	0.18577	0.173722	0.172544	0.170278	0.166026	0.157947	0.143303	0.124669	0.111542	0.102811	0.0961546	0.0884819	0.0833595	0.0745257	0.0657585	0.0565079	0.0551752	0.0478557	0.043463	0.0481156	0.0394019	
92	0	1	task-3:0.284	task-0:0.252	task-1:0.272	task-2:0.44	|	0.273189	0.260431	0.228926	0.198287	0.197316	0.196737	0.196005	0.194925	0.193791	0.192963	0.192396	0.192263	0.19133	0.190885	0.190536	0.189931	0.189551	0.189216	0.18893	0.188683	0.188457	0.18834	0.188129	0.187901	0.187588	0.187279	0.188042	0.187009	0.186742	0.186589	0.18662	0.186326	0.186203	0.186066	0.18631	0.185908	0.18584	0.18577	0.173722	0.172544	0.170278	0.166026	0.157947	0.143303	0.124669	0.111542	0.102811	0.0961546	0.0884819	0.0833595	0.0745257	0.0657585	0.0565079	0.0551752	0.0478557	0.043463	0.0481156	0.0394019	
92	0	1	task-3:0.284	task-0:0.252	task-1:0.272	task-2:0.44	|	0.273189	0.260431	0.228926	0.198287	0.197316	0.196737	0.196005	0.194925	0.193791	0.192963	0.192396	0.192263	0.19133	0.190885	0.190536	0.189931	0.189551	0.189216	0.18893	0.188683	0.188457	0.18834	0.188129	0.187901	0.187588	0.187279	0.188042	0.187009	0.186742	0.186589	0.18662	0.186326	0.186203	0.186066	0.18631	0.185908	0.18584	0.18577	0.173722	0.172544	0.170278	0.166026	0.157947	0.143303	0.124669	0.111542	0.102811	0.0961546	0.0884819	0.0833595	0.0745257	0.0657585	0.0565079	0.0551752	0.0478557	0.043463	0.0481156	0.0394019	
92	0.016	1	task-3:0.284	task-0:0.252	task-1:0.272	task-2:0.44	|	0.273189	0.260431	0.228926	0.198287	0.197316	0.196737	0.196005	0.194925	0.193791	0.192963	0.192396	0.192263	0.19133	0.190885	0.190536	0.189931	0.189551	0.189216	0.18893	0.188683	0.188457	0.18834	0.188129	0.187901	0.187588	0.187279	0.188042	0.187009	0.186742	0.186589	0.18662	0.186326	0.186203	0.186066	0.18631	0.185908	0.18584	0.18577	0.173722	0.172544	0.170278	0.166026	0.157947	0.143303	0.124669	0.111542	0.102811	0.0961546	0.0884819	0.0833595	0.0745257	0.0657585	0.0565079	0.0551752	0.0478557	0.043463	0.0481156	0.0394019	
92	0	1	task-3:0.284	task-0:0.252	task-1:0.272	task-2:0.44	|	0.273189	0.260431	0.228926	0.198287	0.197316	0.196737	0.196005	0.194925	0.193791	0.192963	0.192396	0.192263	0.19133	0.190885	0.190536	0.189931	0.189551	0.189216	0.18893	0.188683	0.188457	0.18834	0.188129	0.187901	0.187588	0.187279	0.188042	0.187009	0.186742	0.186589	0.18662	0.186326	0.186203	0.186066	0.18631	0.185908	0.18584	0.18577	0.173722	0.172544	0.170278	0.166026	0.157947	0.143303	0.124669	0.111542	0.102811	0.0961546	0.0884819	0.0833595	0.0745257	0.0657585	0.0565079	0.0551752	0.0478557	0.043463	0.0481156	0.0394019	
92	0.015	1	task-3:0.284	task-0:0.252	task-1:0.272	task-2:0.44	|	0.273189	0.260431	0.228926	0.198287	0.197316	0.196737	0.196005	0.194925	0.193791	0.192963	0.192396	0.192263	0.19133	0.190885	0.190536	0.189931	0.189551	0.189216	0.18893	0.188683	0.188457	0.18834	0.188129	0.187901	0.187588	0.187279	0.188042	0.187009	0.186742	0.186589	0.18662	0.186326	0.186203	0.186066	0.18631	0.185908	0.18584	0.18577	0.173722	0.172544	0.170278	0.166026	0.157947	0.143303	0.124669	0.111542	0.102811	0.0961546	0.0884819	0.0833595	0.0745257	0.0657585	0.0565079	0.0551752	0.0478557	0.043463	0.0481156	0.0394019	
92	0.016	1	task-3:0.284	task-0:0.252	task-1:0.272	task-2:0.44	|	0.273189	0.260431	0.228926	0.198287	0.197316	0.196737	0.196005	0.194925	0.193791	0.192963	0.192396	0.192263	0.19133	0.190885	0.190536	0.189931	0.189551	0.189216	0.18893	0.188683	0.188457	0.18834	0.188129	0.187901	0.187588	0.187279	0.188042	0.187009	0.186742	0.186589	0.18662	0.186326	0.186203	0.186066	0.18631	0.185908	0.18584	0.18577	0.173722	0.172544	0.170278	0.166026	0.157947	0.143303	0.124669	0.111542	0.102811	0.0961546	0.0884819	0.0833595	0.0745257	0.0657585	0.0565079	0.0551752	0.0478557	0.043463	0.0481156	0.0394019	
92	0	1	task-3:0.284	task-0:0.252	task-1:0.272	task-2:0.44	|	0.273189	0.260431	0.228926	0.198287	0.197316	0.196737	0.196005	0.194925	0.193791	0.192963	0.192396	0.192263	0.19133	0.190885	0.190536	0.189931	0.189551	0.189216	0.18893	0.188683	0.188457	0.18834	0.188129	0.187901	0.187588	0.187279	0.188042	0.187009	0.186742	0.186589	0.18662	0.186326	0.186203	0.186066	0.18631	0.185908	0.18584	0.18577	0.173722	0.172544	0.170278	0.166026	0.157947	0.143303	0.124669	0.111542	0.102811	0.0961546	0.0884819	0.0833595	0.0745257	0.0657585	0.0565079	0.0551752	0.0478557	0.043463	0.0481156	0.0394019	
92	0	1	task-3:0.284	task-0:0.252	task-1:0.272	task-2:0.44	|	0.273189	0.260431	0.228926	0.198287	0.197316	0.196737	0.196005	0.194925	0.193791	0.192963	0.192396	0.192263	0.19133	0.190885	0.190536	0.189931	0.189551	0.189216	0.18893	0.188683	0.188457	0.18834	0.188129	0.187901	0.187588	0.187279	0.188042	0.187009	0.186742	0.186589	0.18662	0.186326	0.186203	0.186066	0.18631	0.185908	0.18584	0.18577	0.173722	0.172544	0.170278	0.166026	0.157947	0.143303	0.124669	0.111542	0.102811	0.0961546	0.0884819	0.0833595	0.0745257	0.0657585	0.0565079	0.0551752	0.0478557	0.043463	0.0481156	0.0394019	
92	0.015	1	task-3:0.284	task-0:0.252	task-1:0.272	task-2:0.44	|	0.273189	0.260431	0.228926	0.198287	0.197316	0.196737	0.196005	0.194925	0.193791	0.192963	0.192396	0.192263	0.19133	0.190885	0.190536	0.189931	0.189551	0.189216	0.18893	0.188683	0.188457	0.18834	0.188129	0.187901	0.187588	0.187279	0.188042	0.187009	0.186742	0.186589	0.18662	0.186326	0.186203	0.186066	0.18631	0.185908	0.18584	0.18577	0.173722	0.172544	0.170278	0.166026	0.157947	0.143303	0.124669	0.111542	0.102811	0.0961546	0.0884819	0.0833595	0.0745257	0.0657585	0.0565079	0.0551752	0.0478557	0.043463	0.0481156	0.0394019	
92	0	1	task-3:0.284	task-0:0.252	task-1:0.272	task-2:0.44	|	0.273189	0.260431	0.228926	0.198287	0.197316	0.196737	0.196005	0.194925	0.193791	0.192963	0.192396	0.192263	0.19133	0.190885	0.190536	0.189931	0.189551	0.189216	0.18893	0.188683	0.188457	0.18834	0.188129	0.187901	0.187588	0.187279	0.188042	0.187009	0.186742	0.186589	0.18662	0.186326	0.186203	0.186066	0.18631	0.185908	0.18584	0.18577	0.173722	0.172544	0.170278	0.166026	0.157947	0.143303	0.124669	0.111542	0.102811	0.0961546	0.0884819	0.0833595	0.0745257	0.0657585	0.0565079	0.0551752	0.0478557	0.043463	0.0481156	0.0394019	
92	0.016	1	task-3:0.284	task-0:0.252	task-1:0.272	task-2:0.44	|	0.273189	0.260431	0.228926	0.198287	0.197316	0.196737	0.196005	0.194925	0.193791	0.192963	0.192396	0.192263	0.19133	0.190885	0.190536	0.189931	0.189551	0.189216	0.18893	0.188683	0.188457	0.18834	0.188129	0.187901	0.187588	0.187279	0.188042	0.187009	0.186742	0.186589	0.18662	0.186326	0.186203	0.186066	0.18631	0.185908	0.18584	0.18577	0.173722	0.172544	0.170278	0.166026	0.157947	0.143303	0.124669	0.111542	0.102811	0.0961546	0.0884819	0.0833595	0.0745257	0.0657585	0.0565079	0.0551752	0.0478557	0.043463	0.0481156	0.0394019	
